no,idItem,title,creador,idCreador,editor,idEditor,lugar,idLugar,fecha,idioma,material,tipoContenido,tipoObjeto,relacionadoCon,objectid,parentid,format,página_física,filename
19,ZAC-017/018-carta,Carta de María Luisa de Austria a Zoila Aurora Cáceres,"Maria Luisa Isenburg-Birstein, Fürstin 1845-1917",https://www.wikidata.org/wiki/Q3847395,[no aplica],[no aplica],"Schlackenwerth, República Checa",https://www.wikidata.org/wiki/Q987487,1902-11-15,ita,papel,texto,carta,,zac-017-018-carta,,image/jpeg,017/018,zac-017-018.jpg
,ZAC-019-pagina,[TODO] Página 019 del álbum (contiene 2 documentos),,,,,,,,,,,,,zac-019-pagina,,compound_object,019,zac-019.jpg
20,ZAC-019-recorte1,Perú,[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],spa,papel,texto,recorte,,zac-019-recorte1,zac-019-pagina,record,019,
21,ZAC-019-recorte2,Espíritu burlón,"Cáceres, Zoila Aurora, 1872-1958",https://www.wikidata.org/wiki/Q4822525,[no disponible],[no disponible],"Tacna, Perú",https://www.wikidata.org/wiki/Q272795,1899,spa,papel,texto,recorte,"ZAC-010-recorte2, ZAC-033-recorte, ZAC-222-recorte",zac-019-recorte2,zac-019-pagina,record,019,
22,ZAC-020-tarjeta1,Tarjeta de invitación a banquete,[no disponible],[no disponible],[no disponible],[no disponible],"París, Francia",https://www.wikidata.org/wiki/Q90,1892-03-31,fra,cartón,texto,tarjeta,,zac-020-tarjeta1,,image/jpeg,020,zac-020.jpg
23,ZAC-020/021-tarjeta2,Tarjeta de presentación de José María Gutiérrez,"Gutiérrez, José María, 1831-1903",https://www.wikidata.org/wiki/Q2835582,[no disponible],[no disponible],[no disponible],[no disponible],1903-03-12,spa,cartón,texto,tarjeta,,zac-020-021-tarjeta2,,image/jpeg,020/021,zac-020-021.jpg
,ZAC-022-pagina,[TODO] Página 022 del álbum (contiene 2 documentos),,,,,,,,,,,,,zac-022-pagina,,compound_object,022,zac-022.jpg
24,ZAC-022-recorte1,Artículo sobre Zoila Aurora Cáceres,[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],spa,papel,texto,recorte,,zac-022-recorte1,zac-022-pagina,record,022,
25,ZAC-022-recorte2,Zoila Aurora Cáceres,[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],spa,papel,texto,recorte,,zac-022-recorte2,zac-022-pagina,record,022,
26,ZAC-023-carta,Carta de Enrico Piccione a Zoila Aurora Cáceres,"Piccione, Enrico, 1862-1929",https://www.wikidata.org/wiki/Q19441214,[no aplica],[no aplica],"Santiago, Chile",https://www.wikidata.org/wiki/Q2887,1901-09-25,spa,papel,texto,carta,,zac-023-carta,,image/jpeg,023,zac-023.jpg
27,ZAC-024-carta,Carta de L. Höcker a Zoila Aurora Cáceres,"Höcker, L.",[no disponible],[no aplica],[no aplica],"Berlín, Alemania",https://www.wikidata.org/wiki/Q64,[ininteligible],deu,papel,texto,carta,,zac-024-carta,,image/jpeg,024,zac-024.jpg
28,ZAC-025/026-carta,Carta a Zoila Aurora Cáceres,[ininteligible],,[no aplica],[no aplica],"Berlín, Alemania",https://www.wikidata.org/wiki/Q64,1902-11-11,deu,papel,texto,carta,,zac-025-026-carta,,image/jpeg,025/026,zac-025-026.jpg
,ZAC-027-pagina,[TODO] Página 027 del álbum (contiene 4 documentos),,,,,,,,,,,,,zac-027-pagina,,compound_object,027,zac-027.jpg
