no,idItem,title,creador,idCreador,editor,idEditor,lugar,idLugar,fecha,idioma,material,tipoContenido,tipoObjeto,relacionadoCon,objectid,parentid,format,página_física,filename
73,ZAC-087-tarjeta,Banquet offert par Latina à Madame Aurora Caceres,[no disponible],[no disponible],[no disponible],[no disponible],"París, Francia",https://www.wikidata.org/wiki/Q90,[no disponible],fra,cartón,texto,tarjeta,,zac-087-tarjeta,zac-087-pagina,record,087,
74,ZAC-087-recorte,Agustín Gómez Carrillo,"Macías del Real, Antonio, 1866-1939",https://www.wikidata.org/wiki/Q20007201,[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],spa,papel,texto,recorte,,zac-087-recorte,zac-087-pagina,record,087,
,ZAC-088-pagina,[TODO] Página 088 del álbum (contiene 3 documentos),,,,,,,,,,,,,zac-088-pagina,,compound_object,088,zac-088.jpg
75,ZAC-088-recorte1,París. El marido de la Otero.,"Gómez Carrillo, Enrique, 1873-1927",https://www.wikidata.org/wiki/Q5379720,[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],spa,papel,texto,recorte,,zac-088-recorte1,zac-088-pagina,record,088,
76,ZAC-088-recorte2,Le banquet Ferrero,[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],fra,papel,texto,recorte,,zac-088-recorte2,zac-088-pagina,record,088,
77,ZAC-088-recorte3,Noticia sobre homenaje a Guglielmo Ferrero,[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],fra,papel,texto,recorte,,zac-088-recorte3,zac-088-pagina,record,088,
78,ZAC-089/090-carta,Carta de V. Checa a Zoila Aurora Cáceres,"Checa, V.",[no disponible],[no aplica],[no aplica],"París, Francia",https://www.wikidata.org/wiki/Q90,1902-01-04,spa,papel,texto,carta,,zac-089-090-carta,,image/jpeg,089/090,zac-089-090.jpg
79,ZAC-091-foto,Fotografía de Federico A. Gutiérrez,[no disponible],[no disponible],[no aplica],[no aplica],[no disponible],[no disponible],[no disponible],[no aplica],papel fotográfico,imagen,fotografía,,zac-091-foto,,image/jpeg,091,zac-091.jpg
80,ZAC-091/092-carta,Carta de Federico A. Gutierrez a Zoila Aurora Cáceres,"Gutierrez, Federico A.",[no disponible],[no aplica],[no aplica],"Buenos Aires, Argentina",https://www.wikidata.org/wiki/Q1486,1899-01-10,spa,papel,texto,carta,,zac-091-092-carta,,image/jpeg,091/092,zac-091-092.jpg
81,ZAC-093-carta,Carta a Zoila Aurora Cáceres,[ininteligible],,[no aplica],[no aplica],"París, Francia",https://www.wikidata.org/wiki/Q90,1902-01-11,spa,papel,texto,carta,,zac-093-carta,,image/jpeg,093,zac-093.jpg
82,ZAC-094/095-carta,Carta de Eduardo Diez de Medina a Zoila Aurora Cáceres,"Díez de Medina, Eduardo, 1881-1955",https://www.wikidata.org/wiki/Q5340591,[no aplica],[no aplica],"La Paz, Bolivia",https://www.wikidata.org/wiki/Q1491,1900-04-17,spa,papel,texto,carta,,zac-094-095-carta,,image/jpeg,094/095,zac-094-095.jpg
,ZAC-096-pagina,[TODO] Página 096 del álbum (contiene 3 documentos),,,,,,,,,,,,,zac-096-pagina,,compound_object,096,zac-096.jpg
83,ZAC-096-recorte1,Maria Luisa,"Salomón Osorio, Alberto, 1877-1959",https://www.wikidata.org/wiki/Q5663560,"La Neblina: Artes y Letras (Lima, 1896-1897)",https://n2t.net/ark:/13960/s219q01rzh9,[no disponible],[no disponible],[no disponible],spa,papel,texto,recorte,,zac-096-recorte1,zac-096-pagina,record,096,
84,ZAC-096-recorte2,Alberto Salomón,J.M.B.,[no disponible],Letras,[no disponible],"Lima, Perú",https://www.wikidata.org/wiki/Q2868,1897,spa,papel,texto,recorte,,zac-096-recorte2,zac-096-pagina,record,096,
85,ZAC-096-recorte3,Besos de claustro,"Salomón Osorio, Alberto, 1877-1959",https://www.wikidata.org/wiki/Q5663560,[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],spa,papel,texto,recorte,,zac-096-recorte3,zac-096-pagina,record,096,
,ZAC-097-pagina,[TODO] Página 097 del álbum (contiene 5 documentos),,,,,,,,,,,,,zac-097-pagina,,compound_object,097,zac-097.jpg
86,ZAC-097-recorte1,La cita muerta,"Salomón Osorio, Alberto, 1877-1959",https://www.wikidata.org/wiki/Q5663560,América Literaria,[no disponible],"Lima, Perú",https://www.wikidata.org/wiki/Q2868,1899,spa,papel,texto,recorte,,zac-097-recorte1,zac-097-pagina,record,097,
87,ZAC-097-recorte2,La tumbas violadas,"Salomón Osorio, Alberto, 1877-1959",https://www.wikidata.org/wiki/Q5663560,La Semana Literaria,[no disponible],"Lima, Perú",https://www.wikidata.org/wiki/Q2868,1899,spa,papel,texto,recorte,,zac-097-recorte2,zac-097-pagina,record,097,
88,ZAC-097-recorte3,La cita muerta,"Salomón Osorio, Alberto, 1877-1959",https://www.wikidata.org/wiki/Q5663560,La Semana Literaria,[no disponible],"Lima, Perú",https://www.wikidata.org/wiki/Q2868,1899,spa,papel,texto,recorte,,zac-097-recorte3,zac-097-pagina,record,097,
89,ZAC-097-recorte4,El ideal moderno,"Salomón Osorio, Alberto, 1877-1959",https://www.wikidata.org/wiki/Q5663560,[no disponible],[no disponible],"Lima, Perú",https://www.wikidata.org/wiki/Q2868,1901,spa,papel,texto,recorte,,zac-097-recorte4,zac-097-pagina,record,097,
90,ZAC-097-recorte5,Humo,"Salomón Osorio, Alberto, 1877-1959",https://www.wikidata.org/wiki/Q5663560,"La Neblina: Artes y Letras (Lima, 1896-1897)",https://n2t.net/ark:/13960/s219q01rzh9,"Lima, Perú",https://www.wikidata.org/wiki/Q2868,1895,spa,papel,texto,recorte,,zac-097-recorte5,zac-097-pagina,record,097,
91,ZAC-098/099-recorte,Canto patriótico,"Salomón Osorio, Alberto, 1877-1959",https://www.wikidata.org/wiki/Q5663560,"La Neblina: Artes y Letras (Lima, 1896-1897)",https://n2t.net/ark:/13960/s219q01rzh9,"Lima, Perú",https://www.wikidata.org/wiki/Q2868,1896,spa,papel,texto,recorte,,zac-098-099-recorte,,image/jpeg,098/099,zac-098-099.jpg
,ZAC-100-pagina,[TODO] Página 100 del álbum (contiene 2 documentos),,,,,,,,,,,,,zac-100-pagina,,compound_object,100,zac-100.jpg
92,ZAC-100-recorte1,La Roma joven,"Salomón Osorio, Alberto, 1877-1959",https://www.wikidata.org/wiki/Q5663560,El Faro,[no disponible],"Lima, Perú",https://www.wikidata.org/wiki/Q2868,1896-09-20,spa,papel,texto,recorte,,zac-100-recorte1,zac-100-pagina,record,100,
93,ZAC-100-recorte2,Reina blanca,"Salomón Osorio, Alberto, 1877-1959",https://www.wikidata.org/wiki/Q5663560,[no disponible],[no disponible],"Lima, Perú",https://www.wikidata.org/wiki/Q2868,[no disponible],spa,papel,texto,recorte,,zac-100-recorte2,zac-100-pagina,record,100,
,ZAC-101-pagina,[TODO] Página 101 del álbum (contiene 4 documentos),,,,,,,,,,,,,zac-101-pagina,,compound_object,101,zac-101.jpg
94,ZAC-101-recorte1,Ser (amor),"Salomón Osorio, Alberto, 1877-1959",https://www.wikidata.org/wiki/Q5663560,"La Neblina: Artes y Letras (Lima, 1896-1897)",https://n2t.net/ark:/13960/s219q01rzh9,"Lima, Perú",https://www.wikidata.org/wiki/Q2868,1896,spa,papel,texto,recorte,,zac-101-recorte1,zac-101-pagina,record,101,
95,ZAC-101-recorte2,Garra,"Salomón Osorio, Alberto, 1877-1959",https://www.wikidata.org/wiki/Q5663560,[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],spa,papel,texto,recorte,,zac-101-recorte2,zac-101-pagina,record,101,
96,ZAC-101-recorte3,Monólogo del suicida con un revólver,"Salomón Osorio, Alberto, 1877-1959",https://www.wikidata.org/wiki/Q5663560,[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],spa,papel,texto,recorte,,zac-101-recorte3,zac-101-pagina,record,101,
97,ZAC-101-foto,Fotografía de Alberto Salomón,[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],[no aplica],papel,imagen,recorte,,zac-101-foto,zac-101-pagina,record,101,
98,ZAC-102-recorte,Cristo,"Salomón Osorio, Alberto, 1877-1959",https://www.wikidata.org/wiki/Q5663560,[no disponible],[no disponible],[no disponible],[no disponible],1897,spa,papel,texto,recorte,,zac-102-recorte,,image/jpeg,102,zac-102.jpg
99,ZAC-103/104-carta,Carta de Godofredo D. Coca a Zoila Aurora Cáceres,"Coca, Godofredo D.",http://viaf.org/viaf/120504373,[no aplica],[no aplica],"Buenos Aires, Argentina",https://www.wikidata.org/wiki/Q1486,1900-03-29,spa,papel,texto,carta,,zac-103-104-carta,,image/jpeg,103/104,zac-103-104.jpg
,ZAC-103-pagina,[TODO] Página 103 del álbum (contiene 2 documentos),,,,,,,,,,,,,zac-103-pagina,,compound_object,103,zac-103.jpg
100,ZAC-103-carnet,Carné de Zoila Aurora Cáceres,École des Hautes Études Sociales. École de Journalisme,https://www.wikidata.org/wiki/Q3045917,[no aplica],[no aplica],"París, Francia",https://www.wikidata.org/wiki/Q90,1902/1903,fra,cartón,texto,carné de identidad,ZAC-081-carnet,zac-103-carnet,zac-103-pagina,record,103,
101,ZAC-103-tarjeta,Tarjeta de Emma Vely,"Vely, Emma, 1848-1934",https://www.wikidata.org/wiki/Q15452068,[no disponible],[no disponible],"Berlín, Alemania",https://www.wikidata.org/wiki/Q64,[no disponible],deu,cartón,texto,tarjeta,,zac-103-tarjeta,zac-103-pagina,record,103,
102,ZAC-105/106-recorte,El discurso del Politeama. (El carácter nacional),"Salomón Osorio, Alberto, 1877-1959",https://www.wikidata.org/wiki/Q5663560,"El Comercio (Lima, 1839-)",https://www.wikidata.org/wiki/Q1324020,"Lima, Perú",https://www.wikidata.org/wiki/Q2868,[no disponible],spa,papel,texto,recorte,,zac-105-106-recorte,,image/jpeg,105/106,zac-105-106.jpg
,ZAC-107/108-pagina,[TODO] Página 107/108 del álbum (contiene 2 documentos),,,,,,,,,,,,,zac-107-108-pagina,,compound_object,107/108,zac-107-108.jpg
103,ZAC-107/108-tarjeta,Tarjeta de María Augusta Arana,"Arana, María Augusta",[no disponible],[no aplica],[no aplica],[no disponible],[no disponible],1904-09-26,spa,cartón,texto,tarjeta,,zac-107-108-tarjeta,zac-107-108-pagina,record,107/108,
104,ZAC-107/108-postal,Tarjeta postal a Zoila Aurora Cáceres,[ininteligible],,[no disponible],[no disponible],"París, Francia",https://www.wikidata.org/wiki/Q90,1902,spa,cartón,texto,tarjeta postal,,zac-107-108-postal,zac-107-108-pagina,record,107/108,
,ZAC-107-pagina,[TODO] Página 107 del álbum (contiene 2 documentos),,,,,,,,,,,,,zac-107-pagina,,compound_object,107,zac-107.jpg
105,ZAC-107-recorte,El indio (A Evangelina),"Quina Castañón, Pedro",[no disponible],[no disponible],[no disponible],"Tacna, Perú",https://www.wikidata.org/wiki/Q272795,1904,spa,papel,texto,recorte,,zac-107-recorte,zac-107-pagina,record,107,
106,ZAC-107-foto,Fotografía de Zoila Aurora Cáceres,[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],[no aplica],papel,imagen,recorte,,zac-107-foto,zac-107-pagina,record,107,
107,ZAC-109/111-carta,Copia editada de artículo sobre Helene Lange y entrevista epistolar,[no disponible],[no disponible],[no aplica],[no aplica],[no disponible],[no disponible],1896-01-01,deu,papel,texto,carta,ZAC-014-carta,zac-109-111-carta,,multiple,109/111,
,ZAC-109/111-carta-p1,Página 1 de 3,,,,,,,,,,,,,zac-109-111-carta-p1,zac-109-111-carta,image/jpeg,109,zac-109.jpg
,ZAC-109/111-carta-p2,Página 2 de 3,,,,,,,,,,,,,zac-109-111-carta-p2,zac-109-111-carta,image/jpeg,110,zac-110.jpg
,ZAC-109/111-carta-p3,Página 3 de 3,,,,,,,,,,,,,zac-109-111-carta-p3,zac-109-111-carta,image/jpeg,111,zac-111.jpg
,ZAC-112-pagina,[TODO] Página 112 del álbum (contiene 2 documentos),,,,,,,,,,,,,zac-112-pagina,,compound_object,112,zac-112.jpg
108,ZAC-112-tela,Material textil estampado para Mademoiselle Zoila Caceres,[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],fra,material textil estampado,objeto físico,objeto de recuerdo,,zac-112-tela,zac-112-pagina,record,112,
109,ZAC-112-carta,Carta del Consejo Nacional de Mujeres de la República Argentina a Zoila Aurora Cáceres,Consejo Nacional de Mujeres de la República Argentina,[no disponible],[no disponible],[no disponible],"Buenos Aires, Argentina",https://www.wikidata.org/wiki/Q1486,1904-11,spa,papel,texto,carta,,zac-112-carta,zac-112-pagina,record,112,
,ZAC-113-pagina,[TODO] Página 113 del álbum (contiene 2 documentos),,,,,,,,,,,,,zac-113-pagina,,compound_object,113,zac-113.jpg
110,ZAC-113-recorte,Las teologales. Caridad. Dictado para una velada de beneficencia,"Cáceres, Zoila Aurora, 1872-1958",https://www.wikidata.org/wiki/Q4822525,[no disponible],[no disponible],"Arica, Chile",https://www.wikidata.org/wiki/Q2203,1899,spa,papel,texto,recorte,"ZAC-013-recorte1, ZAC-027-recorte1",zac-113-recorte,zac-113-pagina,record,113,
111,ZAC-113-tarjeta,Tarjeta ilustrada Mademoiselle Zoïla Cacérès,[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],fra,cartón,texto,tarjeta,,zac-113-tarjeta,zac-113-pagina,record,113,
112,ZAC-114/115-carta,Carta de Miguel M. Lima a Zoila Aurora Cácere,"Lima, Miguel M.",[no disponible],[no disponible],[no disponible],"Guayaquil, Ecuador",https://www.wikidata.org/wiki/Q43509,1900-10-01,spa,papel,texto,carta,,zac-114-115-carta,,image/jpeg,114/115,zac-114-115.jpg
113,ZAC-116-tarjeta,Tarjeta ilustrada Mademoiselle Z. Caceres,[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],fra,cartón,texto,tarjeta,,zac-116-tarjeta,,image/jpeg,116,zac-116.jpg
114,ZAC-116/117-recorte,Plumas y lápices,"Matto de Turner, Clorinda, 1852-1909",https://www.wikidata.org/wiki/Q463299,[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],spa,papel,texto,recorte,,zac-116-117-recorte,,image/jpeg,116/117,zac-116-117.jpg
115,ZAC-118/120-folleto,Folleto publicitario Hamburg Brasilien & La Plata,Hamburg Südamerkanische Dampfschifffahrts-Gesellschaft,https://www.wikidata.org/wiki/Q565050,[no aplica],[no aplica],"Montevideo, Uruguay",https://www.wikidata.org/wiki/Q1335,[no disponible],deu,cartón,imagen,folleto,,zac-118-120-folleto,,multiple,118/120,
,ZAC-118/120-folleto-p1,Página 1 de 3,,,,,,,,,,,,,zac-118-120-folleto-p1,zac-118-120-folleto,image/jpeg,118,zac-118.jpg
,ZAC-118/120-folleto-p2,Página 2 de 3,,,,,,,,,,,,,zac-118-120-folleto-p2,zac-118-120-folleto,image/jpeg,119,zac-119.jpg
,ZAC-118/120-folleto-p3,Página 3 de 3,,,,,,,,,,,,,zac-118-120-folleto-p3,zac-118-120-folleto,image/jpeg,120,zac-120.jpg
116,ZAC-121-recorte,Eva Angelina,"Muñoz, Margarita Práxedes, 1862-1909",https://www.wikidata.org/wiki/Q104777909,La Ilustración Sud-Americana,[no disponible],[no disponible],[no disponible],[no disponible],spa,papel,texto,recorte,,zac-121-recorte,,image/jpeg,121,zac-121.jpg
117,ZAC-121/122-recorte,Por la infancia,"Cáceres, Zoila Aurora, 1872-1958",https://www.wikidata.org/wiki/Q4822525,La Ilustración Sud-Americana,[no disponible],"Tacna, Perú",https://www.wikidata.org/wiki/Q272795,[no disponible],spa,papel,texto,recorte,,zac-121-122-recorte,,image/jpeg,121/122,zac-121-122.jpg
118,ZAC-122-recorte,Ariel. Por José Enrique Rodó,[no disponible],[no disponible],La Ilustración Sud-Americana,[no disponible],[no disponible],[no disponible],[no disponible],spa,papel,texto,recorte,,zac-122-recorte,,image/jpeg,122,zac-122.jpg
119,ZAC-123/125-carta,Carta a Zoila Aurora Cáceres,[ininteligible],,[no aplica],[no aplica],"Barcelona, España",https://www.wikidata.org/wiki/Q1492,1902-03,spa,papel,texto,carta,,zac-123-125-carta,,multiple,123/125,
,ZAC-123/125-carta-p1,Página 1 de 3,,,,,,,,,,,,,zac-123-125-carta-p1,zac-123-125-carta,image/jpeg,123,zac-123.jpg
,ZAC-123/125-carta-p2,Página 2 de 3,,,,,,,,,,,,,zac-123-125-carta-p2,zac-123-125-carta,image/jpeg,124,zac-124.jpg
,ZAC-123/125-carta-p3,Página 3 de 3,,,,,,,,,,,,,zac-123-125-carta-p3,zac-123-125-carta,image/jpeg,125,zac-125.jpg
120,ZAC-126/127-tarjeta1,Tarjeta de invitación a banquete,[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],fra,cartón,texto,tarjeta,,zac-126-127-tarjeta1,,image/jpeg,126/127,zac-126-127.jpg
121,ZAC-126/128-carta,Carta de Vico a Zoila Aurora Cáceres,Vico,[no disponible],[no aplica],[no aplica],"Lima, Perú",https://www.wikidata.org/wiki/Q2868,[ininteligible],spa,papel,texto,carta,,zac-126-128-carta,,multiple,126/128,
,ZAC-126/128-carta-p1,Página 1 de 3,,,,,,,,,,,,,zac-126-128-carta-p1,zac-126-128-carta,image/jpeg,126,zac-126.jpg
,ZAC-126/128-carta-p2,Página 2 de 3,,,,,,,,,,,,,zac-126-128-carta-p2,zac-126-128-carta,image/jpeg,127,zac-127.jpg
,ZAC-126/128-carta-p3,Página 3 de 3,,,,,,,,,,,,,zac-126-128-carta-p3,zac-126-128-carta,image/jpeg,128,zac-128.jpg
122,ZAC-126-tarjeta2,Tarjeta Señorita Zoyla Cáceres,[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],spa,cartón,texto,tarjeta,,zac-126-tarjeta2,,image/jpeg,126,zac-126.jpg
,ZAC-129-pagina,[TODO] Página 129 del álbum (contiene 2 documentos),,,,,,,,,,,,,zac-129-pagina,,compound_object,129,zac-129.jpg
123,ZAC-129-recorte1,Zoila Aurora Cáceres,[no disponible],[no disponible],"La Opinión Nacional (Lima, 1873-1913)",https://www.wikidata.org/wiki/Q80947786,[no disponible],[no disponible],[no disponible],spa,papel,texto,recorte,ZAC-129-recorte2,zac-129-recorte1,zac-129-pagina,record,129,
124,ZAC-129-recorte2,¡Memento!,"Cáceres, Zoila Aurora, 1872-1958",https://www.wikidata.org/wiki/Q4822525,"La Opinión Nacional (Lima, 1873-1913)",https://www.wikidata.org/wiki/Q80947786,[no disponible],[no disponible],[no disponible],spa,papel,texto,recorte,"ZAC-015/016-recorte, ZAC-042/043-recorte1",zac-129-recorte2,zac-129-pagina,record,129,
125,ZAC-130/131-tarjeta1,Tarjeta de invitación a banquete,[no disponible],[no disponible],[no disponible],[no disponible],"Ainhoa, Francia",https://www.wikidata.org/wiki/Q212962,1892-09-12,fra,cartón,texto,tarjeta,,zac-130-131-tarjeta1,,image/jpeg,130/131,zac-130-131.jpg
126,ZAC-130-tarjeta2,Tarjeta Mademoiselle Cacérès,[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],fra,cartón,texto,tarjeta,,zac-130-tarjeta2,,image/jpeg,130,zac-130.jpg
127,ZAC-132-carta,Carta a Zoila Aurora Cáceres,[ininteligible],[no disponible],[no aplica],[no aplica],"París, Francia",https://www.wikidata.org/wiki/Q90,[no disponible],fra,papel,texto,carta,,zac-132-carta,,image/jpeg,132,zac-132.jpg
,ZAC-133-pagina,[TODO] Página 133 del álbum (contiene 5 documentos),,,,,,,,,,,,,zac-133-pagina,,compound_object,133,zac-133.jpg
128,ZAC-133-foto,Fotografía de niña,[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],[no aplica],papel fotográfico,imagen,fotografía,,zac-133-foto,zac-133-pagina,record,133,
129,ZAC-133-recorte1,Texto (incompleto) de Alejandro Ghigliani,"Ghigliani, Alejandro",[no disponible],La Alborada,[no disponible],"Buenos Aires, Argentina",https://www.wikidata.org/wiki/Q1486,1899-11,spa,papel,texto,recorte,,zac-133-recorte1,zac-133-pagina,record,133,
130,ZAC-133-recorte2,Estrofas,"Grilo, Antonio",[no disponible],La Alborada,[no disponible],"Santiago, Chile",https://www.wikidata.org/wiki/Q2887,1899,spa,papel,texto,recorte,,zac-133-recorte2,zac-133-pagina,record,133,
132,ZAC-133-tarjeta1,Tarjeta Mademoiselle Z. Caceres,[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],fra,cartón,texto,tarjeta,,zac-133-tarjeta1,zac-133-pagina,record,133,
133,ZAC-133-tarjeta2,Tarjeta Srta. Zoila Cáceres,[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],1895-06-05,spa,cartón,texto,tarjeta,,zac-133-tarjeta2,zac-133-pagina,record,133,
131,ZAC-133/134-recorte3,¿Mujer ó mármol?,"Cáceres, Zoila Aurora, 1872-1958",https://www.wikidata.org/wiki/Q4822525,La Alborada,[no disponible],"Tacna, Perú",https://www.wikidata.org/wiki/Q272795,1899,spa,papel,texto,recorte,,zac-133-134-recorte3,,image/jpeg,133/134,zac-133-134.jpg
,ZAC-135/136-pagina,[TODO] Página 135/136 del álbum (contiene 2 documentos),,,,,,,,,,,,,zac-135-136-pagina,,compound_object,135/136,zac-135-136.jpg
134,ZAC-135/136-nota,Nota de Victor Margueritte,"Margueritte, Victor, 1866-1942",https://www.wikidata.org/wiki/Q2616465,[no aplica],[no aplica],"París, Francia",https://www.wikidata.org/wiki/Q90,[no disponible],fra,cartón,texto,nota,,zac-135-136-nota,zac-135-136-pagina,record,135/136,
135,ZAC-135/136-tarjeta,Tarjeta de invitación a banquete,[no disponible],[no disponible],[no disponible],[no disponible],"París, Francia",https://www.wikidata.org/wiki/Q90,[no disponible],fra,cartón,texto,tarjeta,,zac-135-136-tarjeta,zac-135-136-pagina,record,135/136,
,ZAC-137-pagina,[TODO] Página 137 del álbum (contiene 2 documentos),,,,,,,,,,,,,zac-137-pagina,,compound_object,137,zac-137.jpg
136,ZAC-137-recorte1,París. El voto de las mujeres,"Gómez Carrillo, Enrique, 1873-1927",https://www.wikidata.org/wiki/Q5379720,[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],spa,papel,texto,recorte,,zac-137-recorte1,zac-137-pagina,record,137,
137,ZAC-137-recorte2,L´Ame Japonaise,"Liebrecht, Henri, 1884-1955",https://www.wikidata.org/wiki/Q3131489,[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],fra,papel,texto,recorte,,zac-137-recorte2,zac-137-pagina,record,137,
138,ZAC-138/139-carta,Carta a Zoila Aurora Cáceres,[ininteligible],[no disponible],[no aplica],[no aplica],"París, Francia",https://www.wikidata.org/wiki/Q90,[no disponible],fra,papel,texto,carta,,zac-138-139-carta,,image/jpeg,138/139,zac-138-139.jpg
139,ZAC-140-carta,Carta de Xavier de Carvalho a Zoila Aurora Cáceres,"Carvalho, Xavier de, 1862-1919",https://www.wikidata.org/wiki/Q110087177,[no aplica],[no aplica],"París, Francia",https://www.wikidata.org/wiki/Q90,[no disponible],fra,papel,texto,carta,,zac-140-carta,,image/jpeg,140,zac-140.jpg
140,ZAC-141/143-carta,Carta a Zoila Aurora Cáceres,[ininteligible],[no disponible],[no aplica],[no aplica],"París, Francia",https://www.wikidata.org/wiki/Q90,[no disponible],fra,papel,texto,carta,,zac-141-143-carta,,multiple,141/143,
,ZAC-141/143-carta-p1,Página 1 de 3,,,,,,,,,,,,,zac-141-143-carta-p1,zac-141-143-carta,image/jpeg,141,zac-141.jpg
,ZAC-141/143-carta-p2,Página 2 de 3,,,,,,,,,,,,,zac-141-143-carta-p2,zac-141-143-carta,image/jpeg,142,zac-142.jpg
,ZAC-141/143-carta-p3,Página 3 de 3,,,,,,,,,,,,,zac-141-143-carta-p3,zac-141-143-carta,image/jpeg,143,zac-143.jpg
141,ZAC-144-recorte,Evangelina y Gómez Carrillo,[no disponible],[no disponible],Actualidades,[no disponible],[no disponible],[no disponible],[no disponible],spa,papel,texto,recorte,,zac-144-recorte,,image/jpeg,144,zac-144.jpg
142,ZAC-145/146-carta,Carta a Zoila Aurora Cáceres,[ininteligible],[no disponible],[no disponible],[no disponible],"París, Francia",https://www.wikidata.org/wiki/Q90,1902-02-06,fra,papel,texto,carta,,zac-145-146-carta,,image/jpeg,145/146,zac-145-146.jpg
143,ZAC-147-recorte1,Rubén Darío,"Bonafoux, Luis, 1855-1918",https://www.wikidata.org/wiki/Q5982933,[no disponible],[no disponible],"Asnières, Francia",[no disponible],1906-10,spa,papel,texto,recorte,,zac-147-recorte1,,image/jpeg,147,zac-147.jpg
144,ZAC-147/148-recorte2,Gómez Carrillo (La felicidad),"Darío, Rubén, 1867-1916",https://www.wikidata.org/wiki/Q173767,[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],spa,papel,texto,recorte,,zac-147-148-recorte2,,image/jpeg,147/148,zac-147-148.jpg
,ZAC-148-pagina,[TODO] Página 148 del álbum (contiene 2 documentos),,,,,,,,,,,,,zac-148-pagina,,compound_object,148,zac-148.jpg
145,ZAC-148-recorte3,D. Ricardo Blasco,"Nordau, Max, 1849-1923",https://www.wikidata.org/wiki/Q472270,[no disponible],[no disponible],"París, Francia",https://www.wikidata.org/wiki/Q90,1906-10,spa,papel,texto,recorte,,zac-148-recorte3,zac-148-pagina,record,148,
146,ZAC-148-recorte4,Fernando Mora,"Bellido, F.",[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],spa,papel,texto,recorte,,zac-148-recorte4,zac-148-pagina,record,148,
,ZAC-149-pagina,[TODO] Página 149 del álbum (contiene 2 documentos),,,,,,,,,,,,,zac-149-pagina,,compound_object,149,zac-149.jpg
147,ZAC-149-recorte,Le banquet Ferrero,G.B.,[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],fra,papel,texto,recorte,"ZAC-086-recorte3, ZAC-086-recorte4, ZAC-088-recorte2, ZAC-088-recorte3",zac-149-recorte,zac-149-pagina,record,149,
148,ZAC-149-tarjeta,Souvenir du gala-kermesse,Fondation Alphonse XIII,[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],1906-11-18,fra,cartón,texto,tarjeta,,zac-149-tarjeta,zac-149-pagina,record,149,
,ZAC-150-pagina,[TODO] Página 150 del álbum (contiene 2 documentos),,,,,,,,,,,,,zac-150-pagina,,compound_object,150,zac-150.jpg
149,ZAC-150-recorte1,Una boda literaria,"Mora, F.",[no disponible],"ABC (Madrid, 1903-)",https://www.wikidata.org/wiki/Q287076,"París, Francia",https://www.wikidata.org/wiki/Q90,1905-06-04,spa,papel,texto,recorte,,zac-150-recorte1,zac-150-pagina,record,150,
150,ZAC-150-recorte2,Una boda literaria,[no disponible],[no disponible],"ABC (Madrid, 1903-)",https://www.wikidata.org/wiki/Q287076,"París, Francia",https://www.wikidata.org/wiki/Q90,1905-06-03,spa,papel,texto,recorte,,zac-150-recorte2,zac-150-pagina,record,150,
151,ZAC-151-recorte,Gaston Routier,"Pietri-Daudet, A.",[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],fra,papel,texto,recorte,,zac-151-recorte,,image/jpeg,151,zac-151.jpg
152,ZAC-152/153-carta,Carta de José Pardo a Zoila Aurora Cáceres,"Pardo y Barreda, José, 1864-1947",https://www.wikidata.org/wiki/Q136632,[no aplica],[no aplica],"Lima, Perú",https://www.wikidata.org/wiki/Q2868,1905-06-02,spa,papel,texto,carta,,zac-152-153-carta,,image/jpeg,152/153,zac-152-153.jpg
